id,cote,shelfmark,folios,author_ar,author_translit,title_ar,title_translit,PORTAL_heading,PORTAL_url,notes
r0156,022,1028,fol.168b-210a,ابو جعفر محمد بن الحسين احمد بن يزدانيار الانباري,Abū,روضة المريدين,,,,
r0157,062,1028,fol.350-363,الحلاج,al-Ḥallāǧ,اقوال بستان المعرفة,,,,
r0168,,4128,fol.151a-170,,,,,,,
r0167,068,Ayasofya,,السلمي,al-Sulamī,سرور الأسرار,Surūr al-asrār,,,
r0158,069,Ayasofya 1642,,ابن الجوزي,Ibn al-Ǧawzī,آداب حسن البصري,,,,
r0159,086,Ayasofya 1644,,السهروردي,Abū al-Naǧīb al-Suhrawardī,آداب المريدين,,,,
r0160,086,Ayasofya 1644,,ابن عربي,Ibn al-ʿArabī,كتاب الحجب,,,,
r0161,086,Ayasofya 1644,,ابن عربي,Ibn al-ʿArabī,كتاب الخلوات,,,,
r0162,061,Ayasofya 1975,,الترمذي,al-Ḥakīm al-Tirmiḏī,كتاب الفروق,,,,
r0163,018,Ayasofya 2049,,السلمي,Abū ʿAbd al-Raḥmān al-Sulamī,كتاب الفتوّة,,,,
r0164,068,Ayasofya 4128,,ابن باكويه الشيرازي,Ibn Bākōyeh al-Šīrāzī,من حكايات الصوفية,,,,
r0165,068,Ayasofya 4128,fol.139b-143a,السلمي,Abū ʿAbd al-Raḥmān al-Sulamī,الفرق بين علم الشريعة والحقيقة,,,,
r0166,068,Ayasofya 4128,fol.143b-149b,القشيري,Abū al-Qāsim al-Qušayrī,منشور الخطاب في مشهور الابواب,,,,
r0169,075,Ayasofya 4801,,ابو مطيع مكحول النسفي,,كتاب في التصوّف,,,,
r0170,086,Ayasofya 533,,ابو الحسن البصري,al-Ḥasan al-Baṣrī,رسالة في الاحاديث المتفرقة,,,,
r0171,022,Bagdath vehbi 1319,,ابو الفرج ابن عبد المحسن الانصاري,Abū al-Faraǧ Ibn ʿAbd al-Muḥsin al-Anṣārī,ترياق المحبّين في طبقات خرقة المشايخ العارفين,,,,
r0172,078,Bagdath vehbi 2150,fol.17-24,ابو زكريا يحيى بن شرف الدين النووي,Abū Zakariyyāʾ Yaḥyā b. Šaraf al-Dīn al-Nawawī,مقامات القلوب,,,,
r0173,"076 a,b,c",Besir aga 36 (3 vols.),,السلمي,Abū ʿAbd al-Raḥmān al-Sulamī,حقائق,,,,
r0175,014,Carullah 1028,,,,شرح التعرّف,,,,
r0174,077,Carullah 1101,fol.29a-51a,الحارث المحاسبي,al-Ḥāriṯ al-Muḥāsibī,المكاسب والورع والشبهة وبيان مباحها ...ومحظورها واختلاف الناس في طلبها,,,,
r0176,077,Carullah 1101,,الحارث المحاسبي,al-Ḥāriṯ al-Muḥāsibī,المسائل في الزهد وغيره,,,,
r0177,016,Carullah 1101,,الحارث المحاسبي,al-Ḥāriṯ al-Muḥāsibī,مسائل,,,,
r0178,077,Carullah 1101,fol.25a-28b,الحارث المحاسبي,al-Ḥāriṯ al-Muḥāsibī,بدء من اناب الى الله,,,,
r0179,077,Carullah 1101,fol.59a-99a,الحارث المحاسبي,al-Ḥāriṯ al-Muḥāsibī,آداب النفوس,,,,
r0180,090,Carullah 1103,,ابو القاسم عبد الرحمن بن محمد الصقلي,Abū al-Qāsim ʿAbd al-Raḥman b. Muḥammad al-Ṣiqillī,كتاب الانوار,,,,
r0181,074,Carullah 1103,,عبد الرحمن ابن احمد,ʿAbd al-Raḥmān b. Aḥmad,كتاب النور,,,,
r0182,073,Carullah 400,,ابن ابي الدنيا,Ibn Abī al-Dunyā,العظمة,,,,
r0183,"009 a,b",Carullah 534 (2 vols.),,ابن برجان,Ibn Barraǧān,تفسير,,,,
r0184,067,Esat 1623,,محمد الصقلي,Abū al-Qāsim ʿAbd al-Raḥman b. Muḥammad al-Ṣiqillī,كتاب الشرح والبيان,,,,
r0185,075,Esat efendi 1312,,الترمذي,al-Ḥakīm al-Tirmiḏī,غور العمر,,,,
r0186,028,Fatih 2553,fol.58a-68a,عبد الرحمن محمد بن محمد الاسفاريني,ʿAbd al-Raḥmān b. Muḥammad b. Muḥammad al-Isfārayīnī,,,,,
r0187,003,Fatih 260,,السلمي,Abū ʿAbd al-Raḥmān al-Sulamī,حقائق التفسير,,,,
r0188,010,Fatih 260,,السلمي,Abū ʿAbd al-Raḥmān al-Sulamī,حقائق التفسير,,,,
r0189,006,Fatih 262,,السلمي,Abū ʿAbd al-Raḥmān al-Sulamī,حقائق التفسير,,,,
r0190,068,Fatih 2650,,السلمي,Abū ʿAbd al-Raḥmān al-Sulamī,بيان زلال القرآن,,,,
r0191,068,Fatih 2650,,السلمي,Abū ʿAbd al-Raḥmān al-Sulamī,درجات الصادقين,,,,
r0192,068,Fatih 2650,,ابو طالب المكي,Abū Ṭālib al-Makkī,عن السكوت,,,,
r0193,068,Fatih 2650,,عبدالله الانصاري,ʿAbd Allāh al-Anṣārī,في انواء العلوم,,,,
r0194,068,Fatih 2650,,الحلاج,al-Ḥallāǧ,قصائد,,,,
r0195,068,Fatih 2650,fol.52a-110a,ابو محمد روزبهان البقلي الشيرازي,Rūzbihān Baqlī al-Šīrāzī,كتاب يسر الارواح,,,,
r0196,125,Fatih 2650,fol.77a-99b,السلمي,Abū ʿAbd al-Raḥmān al-Sulamī,بيان زلل الفقراء,,,,
r0197,015,Fatih 2661,,القونوي,Ṣadr al-Dīn al-Qūnawī,شرح التعرّف,,,,
r0198,028,Fatih 5391,,,,العقيدة الصحيحة,,,,
r0199,075,Haci mahmud 1934,,البصري,al-Ḥasan al-Baṣrī,فريضة 50,,,,
r0200,027,Haci mahmud 2406,,النفري,Muḥammad b. ʿAbd Allāh al-Niffarī,المواقف,,,,
r0201,078,Haci mahmud 2415,fol.53a-55a,النوري,Abū al-Ḥasan al-Nūrī,مقامات القلوب,,,,
r0202,086,Halet efendi 310,,,,الرسالة الهندية,,,,
r0203,075,Ibrahim efendi 494,,البصري,al-Ḥasan al-Baṣrī,كتاب الفرائض,,,,
r0204,086,Izmirli hakki 1507,,ابو الحسن البصري,al-Ḥasan al-Baṣrī,شرح اوراد حفظية,,,,
r0205,075,Karacelebi 1197,,الروزباري,Abū ʿAlī al-Rūdhbārī,فضائل القرآن,,,,
r0206,075,Karacelebi 34,,الروزباري,Abū ʿAlī al-Rūdhbārī,وصية,,,,
r0207,022,Laleli 1516,fol.112a-118b,السلمي,Abū ʿAbd al-Raḥmān al-Sulamī,بيان احوال الصوفية,,,,
