library,id,cote,shelfmark,folios,author_ar,author_translit,title_ar,title_translit,PORTAL_heading,PORTAL_url,notes
Ayasofya,r0132,091,3998,,حسن البصري,al-Ḥasan al-Baṣrī,رسائل عبد الملك بن مروان وحسن البصري,,,,
Ayasofya,r0133,091,3998,,عبد الملك بن مروان,ʿAbd al-Malik b. Marwān,رسائل عبد الملك بن مروان وحسن البصري,,,,
Bağdatlı Vehbi,r0134,062,616,fol.1-10b,ابو مدين شعيب,Abū Madyan Šuʿayb,حكم,,,,
Bağdatlı Vehbi,r0135,062,703,,ابن عربي,Ibn al-ʿArabī,حكم,,,,
Beyazıt Library,r0136,069,3551,,القشيري,Abū al-Qāsim al-Qušayrī,كتاب المقامات الثلاثة,,,,
Beyazıt Library,r0137,011,554,,السلمي,Abū ʿAbd al-Raḥmān al-Sulamī,تفسير,,,,
Beyazıt Library,r0138,117,554,,السلمي,Abū ʿAbd al-Raḥmān al-Sulamī,كتاب الحقائق,,,,
Bursa Library,r0113,032,Haraccioglu 558,,الترمذي,al-Ḥakīm al-Tirmiḏī,سبب التكبير,,,,
Bursa Library,r0114,032,Haraccioglu 558,,الترمذي,al-Ḥakīm al-Tirmiḏī,علم الأولياء,,,,
Bursa Library,r0115,032,Haraccioglu 558,,الترمذي,al-Ḥakīm al-Tirmiḏī,كتاب الحكم,,,,
Bursa Library,r0116,072,Haraccioglu 806,fol.1-18b,الترمذي,al-Ḥakīm al-Tirmiḏī,الحكمة من علم الباطن,,,,
Bursa Library,r0117,072,Haraccioglu 806,fol.20b-,الترمذي,al-Ḥakīm al-Tirmiḏī,سبب التكبير في الصلاة,,,,
Bursa Library,r0118,072,Haraccioglu 806,fol.27b-75,الترمذي,al-Ḥakīm al-Tirmiḏī,كتاب علم الأولياء,,,,
Bursa Library,r0119,042,Ulucami 1536,,النفري,Muḥammad b. ʿAbd Allāh al-Niffarī,كتاب المواقف والمخاطبات,,,,
Bursa Library,r0120,017,Ulucami 1536,,النفري,Muḥammad b. ʿAbd Allāh al-Niffarī,مواقف المخاطبات,,,,
Kastamonu Library,r0251,028,2713,,القشيري,Abū al-Qāsim al-Qušayrī,شروط التصوّف,,,,
Kastamonu Library,r0252,069,2713,fol.180b-208b,القشيري,Abū al-Qāsim al-Qušayrī,شروط التصوّف,,,,
Kastamonu Library,r0253,069,2713,fol.57a-62a,ابو سعيد الخرّاز,Abū Saʿīd al-Ḫarrāz,في علم الاشارات، الجزء الاوّل,,,,
Kastamonu Library,r0254,069,2713,fol.62a-64b,ابو سعيد الخرّاز,Abū Saʿīd al-Ḫarrāz,في علم الاشارات، الجزء الثاني,,,,
Kastamonu Library,r0255,069,2713,fol.88a-133a,ابو سعيد الخرّاز، الوسي، التستري,Sahl al-Tustarī,معيار التصوّف وماهيّته من كلام الشيوخ,,,,
Köprülü Library,r0142,086,1601,,ابن البنا,Ibn al-Bannāʾ al-Marrākušī,في فهم الحقيقة,,,,
Köprülü Library,r0143,086,1602,,,,,,,,
Köprülü Library,r0144,,1620,fol.88a-118b,ابن الفارض,Ibn al-Fāriḍ,,,,,
Köprülü Library,r0145,070,727,fol.1-152b,التستري,Sahl al-Tustarī,من كلام سهل,,,,
Köprülü Library,r0146,070,727,fol.153a-205a,ابو القاسم عبد الرحمن بن محمد الصقلي,Abū al-Qāsim ʿAbd al-Raḥman b. Muḥammad al-Ṣiqillī,الشرح والبيان لما اشكل من كلام سهل,,,,
Köprülü Library,r0147,070,727,fol.205a-242b,ابو القاسم عبد الرحمن بن محمد الصقلي,Abū al-Qāsim ʿAbd al-Raḥman b. Muḥammad al-Ṣiqillī,كتاب المعارضة والرد على اهل الفرق واهل الدعاوى في الاحوال من كلام سهل,,,,
Köprülü Library,r0148,"023 a,b","I, 785 (2 vols.)",,التلمساني,ʿAfīf al-Dīn al-Tilimsānī,شرح المواقف للنفري,,,,
Laleli Library,r0149,"140a,b,c,d",100 (4 vols.),,الماتريدي,Abū Manṣūr al-Māturīdī,تأويلات,,,,
Laleli Library,r0150,073,3664,fol.122a-132,ابن ابي الدنيا,Ibn Abī al-Dunyā,المتمنيين,,,,
Laleli Library,r0151,073,3664,fol.155a-193b,ابن ابي الدنيا,Ibn Abī al-Dunyā,التهجّد وقيام الليل,,,,
Laleli Library,r0152,073,3664,fol.195a-210a,ابن ابي الدنيا,Ibn Abī al-Dunyā,الأولياء,,,,
Laleli Library,r0153,073,3664,fol.27a,ابن ابي الدنيا,Ibn Abī al-Dunyā,الصبر والثواب عليه,,,,
Laleli Library,r0154,073,3664,fol.45a-63b,ابن ابي الدنيا,Ibn Abī al-Dunyā,العزلة والإنفراد,,,,
Laleli Library,r0155,073,3664,fol.72a-86a,ابن ابي الدنيا,Ibn Abī al-Dunyā,اّلهم والحزن,,,,
Topkapı Palace Museum Library,r0225,078,1762/14,fol.159a-163a,شقيق البلخي,Šaqīq al-Balḫī,آداب العبادات,,,,
Topkapı Palace Museum Library,r0139,068,Ahmet III 1378,fol.1-195b,ابن عربي,Ibn al-ʿArabī,الكوكب الدرّي في مناقب ذي النون المصري,,,,
Vehbi Efendi,r0247,075,2065,,البصري,al-Ḥasan al-Baṣrī,فريضة 54,,,,
Veliyüddin Efendi,r0228,017,1618,,ابن خميس,Ibn Ḫamīs al-Mawṣilī,مناقب الابرار,,,,
Veliyüddin Efendi,r0229,068,1618,,ابن خميس,Ibn Ḫamīs al-Mawṣilī,مناقب الابرار,,,,
Veliyüddin Efendi,r0230,075,1682,,ابو زيد الدبوسي الحنفي,Abū Zayd al-Dabbūsī al-Ḥanafī,امد الاقصى,,,,
Veliyüddin Efendi,r0231,062,1821,,ابو نصر الفارابي,Abū Naṣr al-Fārābī,رسالة الزيتونية,,,,
Veliyüddin Efendi,r0232,067,1821,,عبد الوهاب بن احمد بن علي الانصاري,ʿAbd al-Wahhāb a. Aḥmad b. ʿAlī al-Anṣārī,رسالة الفتح في تأويل ما صدر عن الكمّل من الشطح,,,,
Veliyüddin Efendi,r0233,062,1821,fol.119b-133,محمد بن علي الاندلسي,Ibn al-ʿArabī,كتاب المعرفة,,,,
Veliyüddin Efendi,r0234,062,1821,fol.169b-173b,,,رسالة الزوراء,,,,
Veliyüddin Efendi,r0235,062,1821,fol.200-217,ابن عطاء الله,Ibn ʿAṭāʾ Allāh al-Iskandarī,الحكم العطائية,,,,
Veliyüddin Efendi,r0236,062,1821,fol.218-221,ابو مدين شعيب,Abū Madyan Šuʿayb,حكم,,,,
Veliyüddin Efendi,r0237,062,1821,fol.222-223,رسلان دمشقي,Ruslān al-Dimašqī,حكم,,,,
Veliyüddin Efendi,r0238,062,1821,fol.224-229,عفيف الدين عبد الكريم,ʿAfīf al-Dīn ʿAbd al-Karīm,حقائق اليقين وزلفة التمكين,,,,
Veliyüddin Efendi,r0239,062,1821,fol.230-231,,,السؤال عن افضل الذكر,,,,
Veliyüddin Efendi,r0240,062,1821,fol.232-236,,,سؤال الفتوحات وجوابه,,,,
Veliyüddin Efendi,r0241,062,1821,fol.236-238,ابن عربي,Ibn al-ʿArabī,رسالة المحبة,,,,
Veliyüddin Efendi,r0242,062,1821,fol.238-245,,,جواب عن مسألة (القوة البيضاء وهو العقل الاول),,,,
Veliyüddin Efendi,r0243,062,1821,fol.246,,,رسالة,,,,
Veliyüddin Efendi,r0244,067,1821,fol.88b-93a,,,شرح كلام ابي الحسن النوري,,,,
Veliyüddin Efendi,r0248,062,2187,fol.114a-116b,ابن الصلاح الشهرزوري,Ibn al-Ṣalāḥ al-Šahrazūrī,رسالة في نسب رسول الله,,,,
